objID,ra,dec,z,anillos
1237648721210769659,134.44717,-0.1999727,0.02820569,0.0
1237648705657307354,198.23356,0.94118815,0.04803713,0.0
1237648705120895059,199.29492,0.52757058,0.02411415,0.0
1237648720150724863,165.74061,-0.96209487,0.0334835,0.0
1237649919509594232,31.37202,13.251016,0.02469433,0.0
1237649919508742339,29.482672,13.358159,0.0443248,0.0
1237648702973542469,199.54195,-1.2436469,0.0191508,0.0
1237648703503794332,184.47038,-0.65722438,0.02961223,0.0
1237648721754587278,150.29948,0.32932078,0.03448851,0.0
1237648721754718358,150.62846,0.30728894,0.03367684,0.0
1237648702966988820,184.53566,-1.0641188,0.01902536,0.0
1237648722291392551,150.10153,0.70459403,0.03337267,0.0
1237648722291523676,150.356,0.83320353,0.04603692,0.0
1237648703503401151,183.54717,-0.83159025,0.02484193,0.0
1237648702975180927,203.22969,-1.1594902,0.0126869,0.0
1237648720146595857,156.20971,-0.89526469,0.03448598,0.0
1237648720146530485,156.18002,-0.88031095,0.03607096,0.0
1237651067353694273,187.8766,65.763757,0.03112713,0.0
1237648673997127724,248.06417,-0.049929551,0.04401696,0.0
1237648704042434653,188.53691,-0.35528086,0.02250151,0.0
1237649919507759147,27.143281,13.701422,0.01693438,0.0
1237651191354949755,124.49922,46.570764,0.04059146,0.0
1237648673994965546,243.23676,-0.096259792,0.0308672,0.0
1237648722312298550,197.90608,0.66584445,0.018674,0.0
1237649954407907520,29.879041,13.943769,0.01525182,0.0
1237648720713547963,225.03346,-0.58638154,0.04036379,0.0
1237649920038011069,11.631482,14.984973,0.03915642,0.0
1237649920040042665,16.425325,14.734467,0.04043997,0.0
1237649920575799438,13.712063,15.278116,0.0379841,0.0
1237650795678400657,135.36399,-0.41842586,0.05290393,0.0
1237649954406203529,25.879959,14.397106,0.02407212,0.0
1237648720152625168,169.98106,-0.87999127,0.02454603,0.0
1237648705653833867,190.22348,1.0083456,0.02290753,0.0
1237648704594182574,222.51551,0.09749601,0.04032281,0.0
